league,season,team,player,standard_nation,standard_pos,age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,keeper_nation,keeper_pos,keeper_born,keeper_Playing Time_MP,keeper_Playing Time_Starts,keeper_Playing Time_Min,keeper_Playing Time_90s,keeper_Performance_GA,keeper_Performance_GA90,keeper_Performance_SoTA,keeper_Performance_Saves,keeper_Performance_Save%,keeper_Performance_W,keeper_Performance_D,keeper_Performance_L,keeper_Performance_CS,keeper_Performance_CS%,keeper_Penalty Kicks_PKatt,keeper_Penalty Kicks_PKA,keeper_Penalty Kicks_PKsv,keeper_Penalty Kicks_PKm,keeper_Penalty Kicks_Save%,playing_time_nation,playing_time_pos,playing_time_born,playing_time_Playing Time_MP,playing_time_Playing Time_Min,playing_time_Playing Time_Mn/MP,playing_time_Playing Time_Min%,playing_time_Playing Time_90s,playing_time_Starts_Starts,playing_time_Starts_Mn/Start,playing_time_Starts_Compl,playing_time_Subs_Subs,playing_time_Subs_Mn/Sub,playing_time_Subs_unSub,playing_time_Team Success_PPM,playing_time_Team Success_onG,playing_time_Team Success_onGA,playing_time_Team Success_+/-,playing_time_Team Success_+/-90,playing_time_Team Success_On-Off,misc_nation,misc_pos,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,market_value_eur
ARG-Primera División Argentina,2026,Newell's,Jerónimo Mattar,ARG,MF,17-314,2008,13,5,654,7.3,0,1,1,0,0,0,3,0,0.0,0.14,0.14,0.0,0.14,ARG,MF,2008,7.3,0,9,3,33.3,1.24,0.41,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,13,654,50,45.4,7.3,5,64,1,8,42,3,1.08,6,15,-9,-1.24,-0.9,ARG,MF,2008,7.3,3,0,0,5,23,1,15,6,12,,,0,2000000.0
ARG-Primera División Argentina,2026,Estudiantes–RC,Bautista Pieroni,ARG,DF,17-329,2008,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,2008,0.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2008,1,8,8,0.6,0.1,0,,0,1,8,1,0.0,0,0,0,0.0,1.19,ARG,DF,2008,0.1,0,0,0,1,1,0,0,0,0,,,0,
ARG-Primera División Argentina,2026,Platense,Celías Ingenthron,ARG,DF,17-354,2008,3,3,258,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,2008,2.9,0,1,0,0.0,0.35,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2008,3,258,86,17.9,2.9,3,86,2,0,,13,0.33,1,5,-4,-1.4,-1.32,ARG,DF,2008,2.9,1,0,0,5,4,0,9,2,4,,,0,125000.0
ARG-Primera División Argentina,2026,Rosario Central,Bautista Isaías Cantero,,,17-354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Lanús,Thomás de Martis,ARG,FW,17-356,2008,5,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2008,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2008,5,90,18,6.3,1.0,0,,0,5,18,7,0.8,0,1,-1,-1.0,-1.27,ARG,FW,2008,1.0,0,0,0,2,1,1,2,0,0,,,0,125000.0
ARG-Primera División Argentina,2026,Ind. Rivadavia,Luciano Sábato,ARG,FW,18-022,2008,1,0,18,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2008,0.2,0,1,0,0.0,5.0,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2008,1,18,18,1.3,0.2,0,,0,1,18,4,1.0,0,0,0,0.0,-0.89,ARG,FW,2008,0.2,1,0,0,1,0,1,0,0,0,,,0,
ARG-Primera División Argentina,2026,Racing Club,Ezequiel Pérez,ARG,MF,18-025,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2008,0.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,1,7,7,0.5,0.1,0,,0,1,7,4,3.0,1,0,1,12.86,12.79,ARG,MF,2008,0.1,0,0,0,0,0,0,0,0,0,,,0,
ARG-Primera División Argentina,2026,Tigre,Marco Rivas,PER,MF,18-033,2008,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,PER,MF,2008,0.2,0,1,0,0.0,5.63,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,PER,MF,2008,1,16,16,1.1,0.2,0,,0,1,16,3,0.0,0,0,0,0.0,-0.19,PER,MF,2008,0.2,0,0,0,0,0,0,0,0,0,,,0,
ARG-Primera División Argentina,2026,River Plate,Lautaro Pereyra,ARG,MF,18-081,2008,3,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2008,0.7,0,2,0,0.0,2.86,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,3,63,21,4.4,0.7,0,,0,3,21,2,2.0,2,0,2,2.86,2.33,ARG,MF,2008,0.7,0,0,0,1,0,0,0,0,1,,,0,
ARG-Primera División Argentina,2026,Arg Juniors,Facundo Jainikoski,ARG,"FW,MF",18-094,2008,14,3,503,5.6,0,2,2,0,0,0,0,0,0.0,0.36,0.36,0.0,0.36,ARG,"FW,MF",2008,5.6,0,16,5,31.3,2.86,0.89,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"FW,MF",2008,14,503,36,34.9,5.6,3,81,1,11,24,2,1.76,7,3,4,0.72,0.72,ARG,"FW,MF",2008,5.6,0,0,0,8,17,2,28,3,6,,,0,1200000.0
