league,season,team,player,standard_nation,standard_pos,age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,keeper_nation,keeper_pos,keeper_born,keeper_Playing Time_MP,keeper_Playing Time_Starts,keeper_Playing Time_Min,keeper_Playing Time_90s,keeper_Performance_GA,keeper_Performance_GA90,keeper_Performance_SoTA,keeper_Performance_Saves,keeper_Performance_Save%,keeper_Performance_W,keeper_Performance_D,keeper_Performance_L,keeper_Performance_CS,keeper_Performance_CS%,keeper_Penalty Kicks_PKatt,keeper_Penalty Kicks_PKA,keeper_Penalty Kicks_PKsv,keeper_Penalty Kicks_PKm,keeper_Penalty Kicks_Save%,playing_time_nation,playing_time_pos,playing_time_born,playing_time_Playing Time_MP,playing_time_Playing Time_Min,playing_time_Playing Time_Mn/MP,playing_time_Playing Time_Min%,playing_time_Playing Time_90s,playing_time_Starts_Starts,playing_time_Starts_Mn/Start,playing_time_Starts_Compl,playing_time_Subs_Subs,playing_time_Subs_Mn/Sub,playing_time_Subs_unSub,playing_time_Team Success_PPM,playing_time_Team Success_onG,playing_time_Team Success_onGA,playing_time_Team Success_+/-,playing_time_Team Success_+/-90,playing_time_Team Success_On-Off,misc_nation,misc_pos,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,market_value_eur
ARG-Primera División Argentina,2026,Unión,Lautaro Vargas,ARG,DF,21-136,2005,15,15,1298,14.4,0,2,2,0,0,0,8,0,0.0,0.14,0.14,0.0,0.14,ARG,DF,2005,14.4,0,6,1,16.7,0.42,0.07,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2005,15,1298,87,90.1,14.4,15,87,12,0,,0,1.41,21,17,4,0.28,0.28,ARG,DF,2005,14.4,8,0,0,12,9,1,73,13,25,,,0,3500000.0
ARG-Primera División Argentina,2026,Sarmiento–J,Agustín Seyral,ARG,DF,21-137,2005,11,8,720,8.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,2005,8.0,0,2,0,0.0,0.25,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2005,11,720,65,50.0,8.0,8,83,7,3,18,5,1.73,7,8,-1,-0.12,0.63,ARG,DF,2005,8.0,2,0,0,11,5,0,1,21,7,,,0,150000.0
ARG-Primera División Argentina,2026,Defensa,Santiago Sosa,ARG,MF,21-138,2005,15,15,1285,14.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,ARG,MF,2005,14.3,0,5,0,0.0,0.35,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2005,15,1285,86,89.2,14.3,15,86,11,0,,0,1.2,17,17,0,0.0,1.74,ARG,MF,2005,14.3,2,1,0,17,26,0,6,19,13,,,0,2000000.0
ARG-Primera División Argentina,2026,Huracán,Facundo Kalinger di Napoli,ARG,MF,21-138,2005,5,1,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2005,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2005,5,153,31,10.6,1.7,1,73,0,4,20,10,2.0,3,1,2,1.18,1.04,ARG,MF,2005,1.7,0,0,0,5,3,1,1,3,1,,,0,
ARG-Primera División Argentina,2026,Racing Club,Alan Forneris,ARG,MF,21-140,2005,3,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2005,0.8,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2005,3,74,25,5.1,0.8,0,,0,3,25,12,2.0,1,1,0,0.0,-0.13,ARG,MF,2005,0.8,1,0,0,2,2,0,1,0,4,,,0,600000.0
ARG-Primera División Argentina,2026,Estudiantes–RC,Tomás Olmos,ARG,DF,21-146,2005,3,2,164,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,2005,1.8,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2005,3,164,55,11.4,1.8,2,60,0,1,45,3,0.0,0,4,-4,-2.2,-1.14,ARG,DF,2005,1.8,1,0,0,1,0,0,2,2,0,,,0,
ARG-Primera División Argentina,2026,Arg Juniors,Diego Porcel,ARG,"MF,FW",21-147,2005,14,5,513,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,"MF,FW",2005,5.7,0,12,2,16.7,2.11,0.35,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,FW",2005,14,513,37,35.6,5.7,5,74,2,9,16,2,1.73,4,4,0,0.0,-0.39,ARG,"MF,FW",2005,5.7,1,0,0,13,14,6,20,1,6,,,0,800000.0
ARG-Primera División Argentina,2026,Belgrano,Agustín Falcón,ARG,"DF,MF",21-147,2005,2,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,"DF,MF",2005,1.0,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"DF,MF",2005,2,90,45,6.3,1.0,1,78,0,1,12,12,2.67,3,0,3,3.0,2.93,ARG,"DF,MF",2005,1.0,1,0,0,4,0,0,1,2,1,,,0,100000.0
ARG-Primera División Argentina,2026,Independiente,Luciano Barros,,,21-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Sarmiento–J,Alexis González,ARG,FW,21-155,2005,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2005,0.2,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2005,2,21,11,1.5,0.2,0,,0,2,11,10,1.5,0,0,0,0.0,0.44,ARG,FW,2005,0.2,0,0,0,2,0,0,0,0,0,,,0,50000.0
ARG-Primera División Argentina,2026,Estudiantes–LP,Mikel Amondarain,ARG,MF,21-162,2005,14,9,957,10.6,2,1,3,2,0,0,2,0,0.19,0.09,0.28,0.19,0.28,ARG,MF,2005,10.6,2,12,6,50.0,1.13,0.56,0.17,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2005,14,957,68,66.5,10.6,9,89,7,5,32,2,1.8,16,5,11,1.03,0.85,ARG,MF,2005,10.6,2,0,0,10,9,1,9,4,10,,,0,3500000.0
ARG-Primera División Argentina,2026,Barracas Central,Juan Insúa,,,21-164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,GK,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Estudiantes–LP,Joaquín Burgos,ARG,MF,21-185,2004,8,5,323,3.6,0,2,2,0,0,0,0,0,0.0,0.56,0.56,0.0,0.56,ARG,MF,2004,3.6,0,5,1,20.0,1.39,0.28,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,8,323,40,22.4,3.6,5,59,0,3,9,8,2.0,4,0,4,1.11,0.47,ARG,MF,2004,3.6,0,0,0,3,4,1,26,4,3,,,0,1800000.0
ARG-Primera División Argentina,2026,Belgrano,Juan Velazquez,ARG,MF,21-210,2004,7,5,367,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2004,4.1,0,4,0,0.0,0.98,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,7,367,52,25.5,4.1,5,65,0,2,20,0,1.89,2,3,-1,-0.25,-0.66,ARG,MF,2004,4.1,1,0,0,3,4,0,24,5,5,,,0,1700000.0
ARG-Primera División Argentina,2026,Belgrano,Ramiro Hernandes,ARG,MF,21-217,2004,15,4,553,6.1,1,0,1,1,0,0,2,0,0.16,0.0,0.16,0.16,0.16,ARG,MF,2004,6.1,1,12,2,16.7,1.95,0.33,0.08,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,15,553,37,38.4,6.1,4,64,0,11,27,1,1.78,9,4,5,0.81,0.92,ARG,MF,2004,6.1,2,0,0,10,6,0,13,5,7,,,0,300000.0
ARG-Primera División Argentina,2026,Ind. Rivadavia,Matías Salvo,ARG,DF,21-218,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,2004,0.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,1,7,7,0.5,0.1,0,,0,1,7,0,1.0,0,0,0,0.0,-0.88,ARG,DF,2004,0.1,0,0,0,0,0,0,1,0,0,,,0,
ARG-Primera División Argentina,2026,Tigre,Joaquín Mosqueira,ARG,MF,21-228,2004,6,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2004,1.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,6,95,16,6.6,1.1,1,45,0,5,10,10,1.67,2,4,-2,-1.89,-2.23,ARG,MF,2004,1.1,1,0,0,2,1,0,0,1,2,,,0,1200000.0
ARG-Primera División Argentina,2026,Platense,Manuel Tucker,ARG,FW,21-229,2004,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2004,0.7,0,1,1,100.0,1.48,1.48,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2004,4,61,15,4.2,0.7,0,,0,4,15,6,0.75,2,1,1,1.48,1.87,ARG,FW,2004,0.7,0,0,0,0,7,0,5,0,0,,,0,50000.0
ARG-Primera División Argentina,2026,Platense,Pablo Ferreira,ARG,MF,21-237,2004,4,4,313,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2004,3.5,0,5,0,0.0,1.44,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,4,313,78,21.7,3.5,4,78,2,0,,0,0.5,1,3,-2,-0.58,-0.34,ARG,MF,2004,3.5,0,0,0,4,0,0,1,6,8,,,0,350000.0
ARG-Primera División Argentina,2026,Estudiantes–LP,Rodrigo Borzone,,,21-239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,GK,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Tigre,Manuel Fernández,ARG,FW,21-252,2004,6,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2004,0.6,0,3,0,0.0,4.91,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2004,6,55,9,3.8,0.6,0,,0,6,9,9,0.67,1,0,1,1.64,1.51,ARG,FW,2004,0.6,0,0,0,1,1,1,5,0,2,,,0,50000.0
ARG-Primera División Argentina,2026,Atlé Tucumán,Ramiro Gonzalez,,,21-253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Lanús,Yoshan Valois,COL,FW,21-256,2004,8,4,369,4.1,1,0,1,1,0,0,0,0,0.24,0.0,0.24,0.24,0.24,COL,FW,2004,4.1,1,7,2,28.6,1.71,0.49,0.14,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,COL,FW,2004,8,369,46,25.6,4.1,4,73,1,4,20,0,1.33,2,1,1,0.24,0.08,COL,FW,2004,4.1,0,0,0,13,6,2,1,0,1,,,0,1300000.0
ARG-Primera División Argentina,2026,River Plate,Santiago Beltrán,ARG,GK,21-256,2004,16,15,1395,15.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,GK,2004,15.5,0,0,0,,0.0,0.0,,,0,0,ARG,GK,2004,16,15,1395,15.5,11,0.71,46,37,80.4,9,2,4,7,46.7,2,2,0,0,0.0,ARG,GK,2004,16,1395,87,96.9,15.5,15,90,15,1,45,0,1.8,22,11,11,0.71,2.71,ARG,GK,2004,15.5,0,0,0,0,1,0,0,0,0,,,0,9000000.0
ARG-Primera División Argentina,2026,C. Córdoba–SdE,Alan Laprida,ARG,MF,21-260,2004,8,3,370,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2004,4.1,0,2,0,0.0,0.49,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,8,370,46,25.7,4.1,3,72,0,5,31,6,0.88,3,5,-2,-0.49,0.19,ARG,MF,2004,4.1,1,0,0,9,15,0,4,1,4,,,0,
ARG-Primera División Argentina,2026,Gimnasia–M,Julián Ceballos,ARG,MF,21-277,2004,8,5,427,4.7,0,1,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,ARG,MF,2004,4.7,0,6,2,33.3,1.26,0.42,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,8,427,53,29.7,4.7,5,66,1,3,33,6,1.5,4,3,1,0.21,1.01,ARG,MF,2004,4.7,1,0,0,10,2,2,18,6,10,,,0,
ARG-Primera División Argentina,2026,Arg Juniors,Kevin Coronel,ARG,DF,21-310,2004,7,6,538,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,2004,6.0,0,8,4,50.0,1.34,0.67,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,7,538,77,37.4,6.0,6,85,5,1,27,9,2.14,8,8,0,0.0,-0.4,ARG,DF,2004,6.0,1,0,0,7,4,0,22,4,7,,,0,200000.0
ARG-Primera División Argentina,2026,Huracán,Leonel Pérez,,,21-312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Tigre,Angelo Marchese,,,21-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,25000.0
ARG-Primera División Argentina,2026,Racing Club,Tobías Rubio,ARG,DF,21-325,2004,2,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,2004,0.3,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,2,29,15,2.0,0.3,0,,0,2,15,9,0.5,1,0,1,3.1,3.04,ARG,DF,2004,0.3,1,0,0,2,0,0,0,0,0,,,0,300000.0
ARG-Primera División Argentina,2026,Gimnasia–LP,Juan Pérez,COL,MF,21-327,2004,3,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,COL,MF,2004,0.5,0,2,1,50.0,3.83,1.91,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,COL,MF,2004,3,47,16,3.3,0.5,0,,0,3,16,4,0.75,2,1,1,1.91,1.98,COL,MF,2004,0.5,0,0,0,1,1,0,0,1,1,,,0,150000.0
ARG-Primera División Argentina,2026,Belgrano,Álvaro Ocampo,ARG,DF,21-340,2004,7,2,296,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,2004,3.3,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,7,296,42,20.6,3.3,2,90,2,5,23,8,1.33,2,3,-1,-0.3,-0.7,ARG,DF,2004,3.3,0,0,0,3,0,0,1,0,4,,,0,75000.0
ARG-Primera División Argentina,2026,Aldosivi,Federico Laurelli,,,21-342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Instituto,Jeremías Lázaro,ARG,MF,21-354,2004,11,1,295,3.3,1,2,3,1,0,0,0,0,0.31,0.61,0.92,0.31,0.92,ARG,MF,2004,3.3,1,5,1,20.0,1.53,0.31,0.2,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,11,295,27,20.5,3.3,1,82,0,10,21,3,1.27,6,3,3,0.92,1.15,ARG,MF,2004,3.3,0,0,0,4,8,2,7,2,5,,,0,200000.0
ARG-Primera División Argentina,2026,C. Córdoba–SdE,Diego Barrera,ARG,"MF,DF",21-360,2004,15,12,1049,11.7,3,0,3,3,0,0,4,0,0.26,0.0,0.26,0.26,0.26,ARG,"MF,DF",2004,11.7,3,18,7,38.9,1.54,0.6,0.17,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,DF",2004,15,1049,70,72.8,11.7,12,79,7,3,32,1,1.0,10,16,-6,-0.51,0.41,ARG,"MF,DF",2004,11.7,4,0,0,15,17,2,50,5,12,,,0,800000.0
ARG-Primera División Argentina,2026,Platense,Santiago Dalmasso,ARG,MF,21-364,2004,6,0,119,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2004,1.3,0,2,1,50.0,1.51,0.76,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,6,119,20,8.3,1.3,0,,0,6,20,6,1.5,1,0,1,0.76,1.17,ARG,MF,2004,1.3,2,0,0,4,1,0,1,1,1,,,0,100000.0
ARG-Primera División Argentina,2026,Arg Juniors,Lucas Gómez,ARG,MF,22-000,2004,8,1,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2004,2.5,0,1,0,0.0,0.4,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,8,226,28,15.7,2.5,1,90,1,7,19,8,2.0,2,2,0,0.0,-0.3,ARG,MF,2004,2.5,0,0,0,4,4,0,3,2,2,,,0,150000.0
ARG-Primera División Argentina,2026,Platense,Felipe Bussio,ARG,MF,22-001,2004,10,6,505,5.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2004,5.6,0,2,0,0.0,0.36,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,10,505,51,35.1,5.6,6,77,3,4,11,3,1.2,2,3,-1,-0.18,0.21,ARG,MF,2004,5.6,2,0,0,11,0,0,4,13,7,,,0,400000.0
ARG-Primera División Argentina,2026,Vélez Sarsfield,Jano Gordon,ARG,DF,22-001,2004,3,3,258,2.9,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,ARG,DF,2004,2.9,1,2,2,100.0,0.7,0.7,0.5,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,3,258,86,17.9,2.9,3,86,2,0,,0,2.33,4,2,2,0.7,0.39,ARG,DF,2004,2.9,0,0,0,6,0,1,5,8,7,,,1,1000000.0
ARG-Primera División Argentina,2026,Atlé Tucumán,Alexis Segovia,ARG,MF,22-002,2004,7,0,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2004,1.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,7,102,15,7.1,1.1,0,,0,7,15,5,0.57,1,2,-1,-0.88,-0.61,ARG,MF,2004,1.1,0,0,0,1,3,0,6,0,1,,,0,225000.0
ARG-Primera División Argentina,2026,Gimnasia–M,Martin Ubeda,,,22-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Sarmiento–J,Santiago Salle,ARG,MF,22-013,2004,15,10,875,9.7,0,1,1,0,0,0,6,0,0.0,0.1,0.1,0.0,0.1,ARG,MF,2004,9.7,0,6,4,66.7,0.62,0.41,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,15,875,58,60.8,9.7,10,75,3,5,25,0,1.07,5,15,-10,-1.03,-1.51,ARG,MF,2004,9.7,6,0,0,15,18,2,29,1,7,,,0,900000.0
ARG-Primera División Argentina,2026,Platense,Juan Gauto,ARG,MF,22-015,2004,16,12,998,11.1,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,ARG,MF,2004,11.1,0,21,6,28.6,1.89,0.54,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,16,998,62,69.3,11.1,12,79,3,4,14,0,1.0,7,8,-1,-0.09,0.72,ARG,MF,2004,11.1,0,0,0,11,8,3,59,6,7,,,0,
ARG-Primera División Argentina,2026,Atlé Tucumán,Luciano Vallejo,ARG,DF,22-019,2004,6,4,338,3.8,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,ARG,DF,2004,3.8,0,1,1,100.0,0.27,0.27,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,6,338,56,23.5,3.8,4,73,0,2,24,9,1.17,2,5,-3,-0.8,-0.64,ARG,DF,2004,3.8,3,1,1,7,4,0,5,3,7,,,0,50000.0
ARG-Primera División Argentina,2026,Instituto,Luca Klimowicz,ARG,FW,22-029,2004,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2004,0.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2004,2,11,6,0.8,0.1,0,,0,2,6,2,0.0,0,0,0,0.0,0.0,ARG,FW,2004,0.1,0,0,0,1,2,1,0,0,1,,,0,
ARG-Primera División Argentina,2026,Racing Club,Galo Volpe,,,22-034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Huracán,Nazareno Durán,,,22-038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Ind. Rivadavia,Nicolás Bolcato,ARG,GK,22-042,2004,15,14,1337,14.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,GK,2004,14.9,0,0,0,,0.0,0.0,,,0,0,ARG,GK,2004,15,14,1337,14.9,13,0.88,47,35,74.5,9,3,2,4,28.6,1,1,0,0,0.0,ARG,GK,2004,15,1337,89,92.8,14.9,14,90,14,1,77,1,2.06,28,13,15,1.01,1.88,ARG,GK,2004,14.9,1,0,0,0,4,0,0,1,0,,,0,2200000.0
ARG-Primera División Argentina,2026,Independiente,Maximiliano Gutiérrez,CHI,"MF,FW",22-045,2004,7,4,361,4.0,2,1,3,2,0,0,0,0,0.5,0.25,0.75,0.5,0.75,CHI,"MF,FW",2004,4.0,2,11,3,27.3,2.74,0.75,0.18,0.67,0,0,,,,,,,,,,,,,,,,,,,,,,,CHI,"MF,FW",2004,7,361,52,25.1,4.0,4,81,1,3,12,3,1.38,6,5,1,0.25,0.0,CHI,"MF,FW",2004,4.0,0,0,0,2,3,1,17,3,1,,,0,3000000.0
ARG-Primera División Argentina,2026,Gimnasia–M,Valentino Simoni,ARG,FW,22-048,2004,14,8,595,6.6,1,0,1,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15,ARG,FW,2004,6.6,1,7,6,85.7,1.06,0.91,0.14,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2004,14,595,43,41.3,6.6,8,60,0,6,19,1,1.36,7,8,-1,-0.15,0.59,ARG,FW,2004,6.6,1,0,0,4,3,1,2,1,3,,,0,
ARG-Primera División Argentina,2026,Belgrano,Gonzalo Zelarayán,ARG,FW,22-050,2004,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2004,0.2,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2004,2,16,8,1.1,0.2,0,,0,2,8,14,3.0,0,0,0,0.0,-0.25,ARG,FW,2004,0.2,0,0,0,0,0,0,4,0,0,,,0,25000.0
ARG-Primera División Argentina,2026,Independiente,Matías Abaldo,URU,"MF,FW",22-075,2004,15,15,1262,14.0,5,1,6,5,0,0,1,1,0.36,0.07,0.43,0.36,0.43,URU,"MF,FW",2004,14.0,5,26,14,53.8,1.85,1.0,0.19,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,URU,"MF,FW",2004,15,1262,84,87.6,14.0,15,84,5,0,,0,1.31,21,19,2,0.14,-0.87,URU,"MF,FW",2004,14.0,1,1,0,10,7,7,42,3,3,,,0,5000000.0
ARG-Primera División Argentina,2026,Instituto,Alex Luna,ARG,"MF,FW",22-078,2004,15,15,1215,13.5,5,0,5,3,2,2,5,0,0.37,0.0,0.37,0.22,0.22,ARG,"MF,FW",2004,13.5,5,44,18,40.9,3.26,1.33,0.07,0.17,2,2,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,FW",2004,15,1215,81,84.4,13.5,15,81,7,0,,0,1.2,12,16,-4,-0.3,-1.9,ARG,"MF,FW",2004,13.5,5,0,0,19,44,3,28,7,11,,,0,4000000.0
ARG-Primera División Argentina,2026,Gimnasia–M,Tomás O'Connor,ARG,MF,22-084,2004,4,0,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2004,1.4,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,4,128,32,8.9,1.4,0,,0,4,32,1,1.75,2,2,0,0.0,0.55,ARG,MF,2004,1.4,0,0,0,2,4,0,1,3,5,,,0,
ARG-Primera División Argentina,2026,Rosario Central,Tomás O'Connor,,,22-084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
