league,season,team,standard_players_used,standard_Age,standard_Poss,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,standard_url,shooting_players_used,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,shooting_url,keeper_players_used,keeper_Playing Time_MP,keeper_Playing Time_Starts,keeper_Playing Time_Min,keeper_Playing Time_90s,keeper_Performance_GA,keeper_Performance_GA90,keeper_Performance_SoTA,keeper_Performance_Saves,keeper_Performance_Save%,keeper_Performance_W,keeper_Performance_D,keeper_Performance_L,keeper_Performance_CS,keeper_Performance_CS%,keeper_Penalty Kicks_PKatt,keeper_Penalty Kicks_PKA,keeper_Penalty Kicks_PKsv,keeper_Penalty Kicks_PKm,keeper_Penalty Kicks_Save%,keeper_url,playing_time_players_used,playing_time_Age,playing_time_Playing Time_MP,playing_time_Playing Time_Min,playing_time_Playing Time_Mn/MP,playing_time_Playing Time_Min%,playing_time_Playing Time_90s,playing_time_Starts_Starts,playing_time_Starts_Mn/Start,playing_time_Starts_Compl,playing_time_Subs_Subs,playing_time_Subs_Mn/Sub,playing_time_Subs_unSub,playing_time_Team Success_PPM,playing_time_Team Success_onG,playing_time_Team Success_onGA,playing_time_Team Success_+/-,playing_time_Team Success_+/-90,playing_time_url,misc_players_used,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,misc_url
ARG-Primera División Argentina,2026,Estudiantes–LP,27,28.3,53.7,16,176,1440,16,19,15,34,19,0,0,46,2,1.19,0.94,2.12,1.19,2.12,/en/squads/df734df9/Estudiantes-LP-Stats,27,16,19,218,80,36.7,13.62,5.0,0.09,0.24,0,0,/en/squads/df734df9/Estudiantes-LP-Stats,2,16,16,1440,16,7,0.44,45,38,84.4,9,4,3,9,56.3,1,0,1,0,100.0,/en/squads/df734df9/Estudiantes-LP-Stats,27,28.3,16,1440,90,100,16,176,80,97,77,22,115,1.94,19,7,12,0.75,/en/squads/df734df9/Estudiantes-LP-Stats,27,16,46,2,1,195,190,17,311,120,197,,,0,/en/squads/df734df9/Estudiantes-LP-Stats
ARG-Primera División Argentina,2026,Estudiantes–RC,31,28.9,48.2,16,176,1440,16,5,3,8,5,0,0,35,3,0.31,0.19,0.5,0.31,0.5,/en/squads/8277fe2e/Estudiantes-de-Rio-Cuarto-Stats,31,16,5,177,37,20.9,11.06,2.31,0.03,0.14,0,0,/en/squads/8277fe2e/Estudiantes-de-Rio-Cuarto-Stats,2,16,16,1440,16,24,1.5,59,39,66.1,1,2,13,3,18.8,5,4,0,1,0.0,/en/squads/8277fe2e/Estudiantes-de-Rio-Cuarto-Stats,31,28.9,16,1440,90,100,16,176,79,96,78,25,114,0.31,5,24,-19,-1.19,/en/squads/8277fe2e/Estudiantes-de-Rio-Cuarto-Stats,31,16,35,3,0,178,195,31,345,164,157,,,1,/en/squads/8277fe2e/Estudiantes-de-Rio-Cuarto-Stats
ARG-Primera División Argentina,2026,Gimnasia–LP,32,27.7,47.4,16,176,1440,16,19,14,33,17,2,2,47,2,1.19,0.87,2.06,1.06,1.94,/en/squads/950a95f2/Gimnasia-y-Esgrima-La-Plata-Stats,32,16,19,180,58,32.2,11.25,3.62,0.09,0.29,2,2,/en/squads/950a95f2/Gimnasia-y-Esgrima-La-Plata-Stats,3,16,16,1440,16,19,1.19,58,40,69.0,8,2,6,5,31.3,1,1,0,0,0.0,/en/squads/950a95f2/Gimnasia-y-Esgrima-La-Plata-Stats,32,27.7,16,1440,90,100,16,176,81,98,78,19,114,1.63,19,19,0,0.0,/en/squads/950a95f2/Gimnasia-y-Esgrima-La-Plata-Stats,32,16,47,2,0,191,216,30,305,166,194,,,1,/en/squads/950a95f2/Gimnasia-y-Esgrima-La-Plata-Stats
ARG-Primera División Argentina,2026,Gimnasia–M,29,28.1,43.2,16,176,1440,16,13,11,24,13,0,0,38,2,0.81,0.69,1.5,0.81,1.5,/en/squads/c694e6e5/Gimnasia-y-Esgrima-de-Mendoza-Stats,29,16,13,173,61,35.3,10.81,3.81,0.08,0.21,0,0,/en/squads/c694e6e5/Gimnasia-y-Esgrima-de-Mendoza-Stats,2,16,16,1440,16,22,1.37,70,50,70.0,5,4,7,4,25.0,2,1,1,0,50.0,/en/squads/c694e6e5/Gimnasia-y-Esgrima-de-Mendoza-Stats,29,28.1,16,1440,90,100,16,176,77,94,80,27,111,1.19,14,22,-8,-0.5,/en/squads/c694e6e5/Gimnasia-y-Esgrima-de-Mendoza-Stats,29,16,38,2,0,204,201,19,262,165,184,,,1,/en/squads/c694e6e5/Gimnasia-y-Esgrima-de-Mendoza-Stats
ARG-Primera División Argentina,2026,Huracán,26,29.6,52.3,16,176,1440,16,17,11,28,14,3,3,51,4,1.06,0.69,1.75,0.87,1.56,/en/squads/1d3d37ae/Huracan-Stats,26,16,17,171,58,33.9,10.69,3.62,0.08,0.24,3,3,/en/squads/1d3d37ae/Huracan-Stats,2,16,16,1440,16,13,0.81,40,31,72.5,5,7,4,7,43.8,4,2,2,0,50.0,/en/squads/1d3d37ae/Huracan-Stats,26,29.6,16,1440,90,100,16,176,82,101,72,19,118,1.38,17,13,4,0.25,/en/squads/1d3d37ae/Huracan-Stats,26,16,51,4,2,207,203,28,273,148,167,,,0,/en/squads/1d3d37ae/Huracan-Stats
ARG-Primera División Argentina,2026,Ind. Rivadavia,28,27.1,48.1,16,176,1440,16,27,19,46,27,0,0,34,0,1.69,1.19,2.87,1.69,2.87,/en/squads/8a9d5afa/Independiente-Rivadavia-Stats,28,16,27,226,82,36.3,14.12,5.12,0.12,0.33,0,0,/en/squads/8a9d5afa/Independiente-Rivadavia-Stats,3,16,16,1440,16,15,0.94,52,38,73.1,10,4,2,4,25.0,1,1,0,0,0.0,/en/squads/8a9d5afa/Independiente-Rivadavia-Stats,28,27.1,16,1440,90,100,16,176,82,99,77,19,115,2.13,29,15,14,0.87,/en/squads/8a9d5afa/Independiente-Rivadavia-Stats,28,16,34,0,0,189,177,33,306,130,151,,,0,/en/squads/8a9d5afa/Independiente-Rivadavia-Stats
ARG-Primera División Argentina,2026,Independiente,25,29.8,53.5,16,176,1440,16,23,17,40,21,2,2,41,4,1.44,1.06,2.5,1.31,2.37,/en/squads/40bb0ce9/Independiente-Stats,25,16,23,210,64,30.5,13.12,4.0,0.1,0.33,2,2,/en/squads/40bb0ce9/Independiente-Stats,1,16,16,1440,16,20,1.25,54,36,68.5,6,6,4,4,25.0,4,3,0,1,0.0,/en/squads/40bb0ce9/Independiente-Stats,25,29.8,16,1440,90,100,16,176,83,105,68,19,124,1.5,24,20,4,0.25,/en/squads/40bb0ce9/Independiente-Stats,25,16,41,4,1,185,193,38,347,130,143,,,0,/en/squads/40bb0ce9/Independiente-Stats
ARG-Primera División Argentina,2026,Instituto,26,28.4,49.8,16,176,1440,16,16,10,26,13,3,4,42,0,1.0,0.62,1.62,0.81,1.44,/en/squads/e2f19203/Instituto-Stats,26,16,16,210,68,32.4,13.12,4.25,0.06,0.19,3,4,/en/squads/e2f19203/Instituto-Stats,1,16,16,1440,16,17,1.06,54,37,68.5,6,3,7,4,25.0,0,0,0,0,,/en/squads/e2f19203/Instituto-Stats,26,28.4,16,1440,90,100,16,176,81,99,78,20,114,1.31,17,17,0,0.0,/en/squads/e2f19203/Instituto-Stats,26,16,42,0,0,218,171,29,364,137,174,,,0,/en/squads/e2f19203/Instituto-Stats
ARG-Primera División Argentina,2026,Lanús,27,29.7,53.5,16,176,1440,16,18,16,34,17,1,2,42,0,1.13,1.0,2.12,1.06,2.06,/en/squads/11b6dba8/Lanus-Stats,27,16,18,186,64,34.4,11.62,4.0,0.09,0.27,1,2,/en/squads/11b6dba8/Lanus-Stats,2,16,16,1440,16,15,0.94,57,45,78.9,6,6,4,7,43.8,3,3,0,0,0.0,/en/squads/11b6dba8/Lanus-Stats,27,29.7,16,1440,90,100,16,176,81,96,80,20,112,1.5,18,15,3,0.19,/en/squads/11b6dba8/Lanus-Stats,27,16,42,0,0,212,190,28,262,142,151,,,0,/en/squads/11b6dba8/Lanus-Stats
ARG-Primera División Argentina,2026,Newell's,30,26.4,44.3,16,176,1440,16,14,7,21,13,1,1,42,2,0.87,0.44,1.31,0.81,1.25,/en/squads/9bf4eaf4/Newells-Old-Boys-Stats,30,16,14,166,55,33.1,10.37,3.44,0.08,0.24,1,1,/en/squads/9bf4eaf4/Newells-Old-Boys-Stats,3,16,16,1440,16,27,1.69,77,52,67.5,3,6,7,2,12.5,2,2,0,0,0.0,/en/squads/9bf4eaf4/Newells-Old-Boys-Stats,30,26.4,16,1440,90,100,16,176,77,96,78,28,114,0.94,15,27,-12,-0.75,/en/squads/9bf4eaf4/Newells-Old-Boys-Stats,30,16,42,2,1,215,204,31,323,133,203,,,1,/en/squads/9bf4eaf4/Newells-Old-Boys-Stats
ARG-Primera División Argentina,2026,Platense,27,26.9,51.0,16,176,1440,16,9,4,13,8,1,1,31,0,0.56,0.25,0.81,0.5,0.75,/en/squads/3cbfa767/Platense-Stats,27,16,9,193,61,31.6,12.06,3.81,0.04,0.13,1,1,/en/squads/3cbfa767/Platense-Stats,1,16,16,1440,16,15,0.94,64,50,78.1,3,7,6,6,37.5,1,1,0,0,0.0,/en/squads/3cbfa767/Platense-Stats,27,26.9,16,1440,90,100,16,176,81,96,80,20,112,1.0,10,15,-5,-0.31,/en/squads/3cbfa767/Platense-Stats,27,16,31,0,0,183,169,24,352,166,175,,,1,/en/squads/3cbfa767/Platense-Stats
ARG-Primera División Argentina,2026,Racing Club,28,28.0,57.4,16,176,1440,16,17,13,30,16,1,2,52,5,1.06,0.81,1.87,1.0,1.81,/en/squads/8e20e13d/Racing-Club-Stats,28,16,17,196,54,27.6,12.25,3.38,0.08,0.3,1,2,/en/squads/8e20e13d/Racing-Club-Stats,1,16,16,1440,16,15,0.94,53,38,71.7,5,6,5,6,37.5,1,0,1,0,100.0,/en/squads/8e20e13d/Racing-Club-Stats,28,28.0,16,1440,90,100,16,176,79,97,75,23,117,1.31,17,15,2,0.12,/en/squads/8e20e13d/Racing-Club-Stats,28,16,52,5,2,223,147,35,292,157,152,,,0,/en/squads/8e20e13d/Racing-Club-Stats
ARG-Primera División Argentina,2026,River Plate,31,26.6,66.1,16,176,1440,16,22,13,35,20,2,3,43,3,1.37,0.81,2.19,1.25,2.06,/en/squads/ef99c78c/River-Plate-Stats,31,16,22,267,85,31.8,16.69,5.31,0.07,0.24,2,3,/en/squads/ef99c78c/River-Plate-Stats,2,16,16,1440,16,12,0.75,49,39,79.6,9,2,5,7,43.8,2,2,0,0,0.0,/en/squads/ef99c78c/River-Plate-Stats,31,26.6,16,1440,90,100,16,176,80,101,74,23,117,1.81,22,12,10,0.62,/en/squads/ef99c78c/River-Plate-Stats,31,16,43,3,1,185,188,20,264,149,173,,,0,/en/squads/ef99c78c/River-Plate-Stats
ARG-Primera División Argentina,2026,Rosario Central,30,27.2,56.3,16,176,1440,16,19,15,34,18,1,2,36,0,1.19,0.94,2.12,1.13,2.06,/en/squads/87a920fa/Rosario-Central-Stats,30,16,19,214,75,35.0,13.37,4.69,0.08,0.24,1,2,/en/squads/87a920fa/Rosario-Central-Stats,2,16,16,1440,16,16,1.0,62,47,75.8,8,4,4,4,25.0,1,1,0,0,0.0,/en/squads/87a920fa/Rosario-Central-Stats,30,27.2,16,1440,90,100,16,176,82,113,63,22,129,1.75,20,16,4,0.25,/en/squads/87a920fa/Rosario-Central-Stats,30,16,36,0,0,170,229,23,327,187,186,,,1,/en/squads/87a920fa/Rosario-Central-Stats
ARG-Primera División Argentina,2026,Sarmiento–J,27,29.4,47.6,16,176,1440,16,13,9,22,10,3,3,55,4,0.81,0.56,1.37,0.62,1.19,/en/squads/e9ae80b7/Sarmiento-J-Stats,27,16,13,157,56,35.7,9.81,3.5,0.06,0.18,3,3,/en/squads/e9ae80b7/Sarmiento-J-Stats,1,16,16,1440,16,20,1.25,87,68,78.2,6,1,9,5,31.3,1,1,0,0,0.0,/en/squads/e9ae80b7/Sarmiento-J-Stats,27,29.4,16,1440,90,100,16,176,79,94,78,23,113,1.19,13,20,-7,-0.44,/en/squads/e9ae80b7/Sarmiento-J-Stats,27,16,55,4,2,218,179,31,231,155,155,,,1,/en/squads/e9ae80b7/Sarmiento-J-Stats
ARG-Primera División Argentina,2026,Talleres–C,26,27.1,52.5,16,176,1440,16,16,13,29,16,0,0,35,0,1.0,0.81,1.81,1.0,1.81,/en/squads/ceda2145/Talleres-Cordoba-Stats,26,16,16,185,67,36.2,11.56,4.19,0.09,0.24,0,0,/en/squads/ceda2145/Talleres-Cordoba-Stats,1,16,16,1440,16,13,0.81,58,46,79.3,7,5,4,6,37.5,1,1,0,0,0.0,/en/squads/ceda2145/Talleres-Cordoba-Stats,26,27.1,16,1440,90,100,16,176,80,99,77,22,99,1.63,17,13,4,0.25,/en/squads/ceda2145/Talleres-Cordoba-Stats,26,16,35,0,0,192,168,20,277,123,202,,,1,/en/squads/ceda2145/Talleres-Cordoba-Stats
ARG-Primera División Argentina,2026,Tigre,27,27.3,47.0,16,176,1440,16,18,12,30,18,0,0,32,1,1.13,0.75,1.87,1.13,1.87,/en/squads/0e92bf17/Tigre-Stats,27,16,18,222,70,31.5,13.87,4.37,0.08,0.26,0,0,/en/squads/0e92bf17/Tigre-Stats,2,16,16,1440,16,15,0.94,49,35,71.4,4,8,4,4,25.0,1,1,0,0,0.0,/en/squads/0e92bf17/Tigre-Stats,27,27.3,16,1440,90,100,16,176,81,102,74,21,118,1.25,18,15,3,0.19,/en/squads/0e92bf17/Tigre-Stats,27,16,32,1,0,200,210,18,329,158,173,,,0,/en/squads/0e92bf17/Tigre-Stats
ARG-Primera División Argentina,2026,Unión,25,27.1,50.6,16,176,1440,16,23,17,40,20,3,3,40,1,1.44,1.06,2.5,1.25,2.31,/en/squads/5adc7e67/Union-de-Santa-Fe-Stats,25,16,23,280,87,31.1,17.5,5.44,0.07,0.23,3,3,/en/squads/5adc7e67/Union-de-Santa-Fe-Stats,1,16,16,1440,16,20,1.25,61,43,70.5,5,6,5,5,31.3,2,2,0,0,0.0,/en/squads/5adc7e67/Union-de-Santa-Fe-Stats,25,27.1,16,1440,90,100,16,176,83,111,64,19,128,1.31,24,20,4,0.25,/en/squads/5adc7e67/Union-de-Santa-Fe-Stats,25,16,40,1,0,187,174,35,385,142,146,,,1,/en/squads/5adc7e67/Union-de-Santa-Fe-Stats
ARG-Primera División Argentina,2026,Vélez Sarsfield,25,28.6,54.2,16,176,1440,16,18,13,31,16,2,2,39,1,1.13,0.81,1.94,1.0,1.81,/en/squads/41c139b6/Velez-Sarsfield-Stats,25,16,18,186,64,34.4,11.62,4.0,0.09,0.25,2,2,/en/squads/41c139b6/Velez-Sarsfield-Stats,1,16,16,1440,16,12,0.75,77,65,84.4,7,7,2,7,43.8,0,0,0,0,,/en/squads/41c139b6/Velez-Sarsfield-Stats,25,28.6,16,1440,90,100,16,176,84,110,65,17,125,1.75,18,12,6,0.37,/en/squads/41c139b6/Velez-Sarsfield-Stats,25,16,39,1,1,182,189,17,294,145,206,,,2,/en/squads/41c139b6/Velez-Sarsfield-Stats
